project_id,language,num_jobs,num_steps_total,avg_steps_per_job,dependency_depth,sequence_id,sequence_length,job_sequences,has_checkout,has_setup,has_test,has_build,completeness_score,external_actions_count,has_chained_commands,events,num_events,has_push,has_pull_request,has_schedule,has_workflow_dispatch,schedule_pattern,uses_cache,cache_count,num_cache_keys,cache_keys,uses_reusable_workflows,uses_composite_actions,uses_local_actions,reusable_workflow_count,composite_action_count,local_action_count,total_modularity_constructs,total_actions,pinned_to_sha,pinned_to_tag,pinned_to_branch,unpinned,sha_percentage,tag_percentage,branch_percentage,unpinned_percentage,starts_with_checkout,first_step,last_step
nefarius/vicius,c++,1,1,1.0,1,dessant/support-requests,1,[action]: dessant/support-requests,0,0,0,0,0.0,1,0,issues,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,dessant/support-requests,dessant/support-requests
jorgepiloto/lamberthub,python,5,8,1.6,4,Run Static Analysis → Execute Tests → Upload Coverage → Build Library → Publish Package → Download Build Artifacts → Publish Release,7,[code-style]: ansys/actions/code-style || [doc-style]: ansys/actions/doc-style || [tests]: Run tests → Upload coverage || [build-library]: ansys/actions/build-library || [release]: Release to the public PyPI repository → Download distribution artifacts → Release to GitHub,0,0,1,1,0.5,8,0,"pull_request, push",2,1,1,0,0,,0,0,0,,0,0,0,0,0,0,0,8,0,8,0,0,0.0,100.0,0.0,0.0,False,Run Static Analysis,Publish Release
looker-open-source/looker_deployer,python,1,1,1.0,1,amannn/action-semantic-pull-request,1,[main]: amannn/action-semantic-pull-request,0,0,0,0,0.0,1,0,pull_request_target,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,amannn/action-semantic-pull-request,amannn/action-semantic-pull-request
Dockershelf/dockershelf,python,1,4,4.0,1,Inspect Runtime Environment → Configure Cloud Resources → Clean Project Artifacts → Terminate Session,4,[tags-cleanup]: Install Docker hub-tool → Login hub-tool → Remove PR container image via hub-tool → Logout hub-tool,0,0,0,0,0.0,0,1,"schedule, workflow_dispatch",2,0,0,1,1,00 8 * * 3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,Inspect Runtime Environment,Terminate Session
cocos/cocos-engine,c++,1,3,3.0,1,Generate Version Metadata → Add contribution label → assignment,3,[automate-labels]: Check organization → Add contribution label → assignment,0,0,0,0,0.0,2,0,pull_request_target,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,2,0,1,1,0,0.0,50.0,50.0,0.0,False,Generate Version Metadata,assignment
Azure/counterfit,python,1,11,11.0,1,Setup Runtime Environment → Checkout Repository → Populate installation acceptance test → Install Project Dependencies → Configure Build Profile → Generate Test Coverage → Get Coverage Percentage → Echo ${{ Steps.Coverage Percent.Outputs.Prop }} → Create Coverage Badge,9,[coverage_if_merged]: Install OS dependencies → Setup Anaconda → Setup Conda Environment → Checkout Counterfit repository → Populate installation acceptance test → Setup Counterfit → Test Counterfit installation → Generate coverage report → Get Coverage Percentage → echo ${{ steps.coverage_percent.outputs.prop }} → Create Coverage Badge,1,1,0,0,0.5,4,1,"pull_request, push, schedule",3,1,1,1,0,0 4 * * *,0,0,0,,0,0,0,0,0,0,0,4,0,3,1,0,0.0,75.0,25.0,0.0,False,Setup Runtime Environment,Create Coverage Badge
curzon01/mqtt2sql,python,1,1,1.0,1,Manage Workflow Automation,1,[stale]: actions/stale,0,0,0,0,0.0,1,0,schedule,1,0,0,1,0,00 17 * * *,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Manage Workflow Automation,Manage Workflow Automation
ElPsyKongroo1/Kargono,c++,1,1,1.0,1,DenverCoder1/doxygen-github-pages-action,1,[deploy]: DenverCoder1/doxygen-github-pages-action,0,0,0,0,0.0,1,0,push,1,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,DenverCoder1/doxygen-github-pages-action,DenverCoder1/doxygen-github-pages-action
Skarsnik/QUsb2snes,c++,4,18,4.5,1,Install External Tool → Checkout Repository → qmake NOGUI → Build Source Code → check no libQt5Gui.so/libGL.so → qmake → check libQt5Gui.so/libGL.so → Execute Tests,8,[build_nogui]: Install Qt → actions/checkout → qmake NOGUI → make → check no libQt5Gui.so/libGL.so || [build_gui]: Install Qt → actions/checkout → qmake → make → check libQt5Gui.so/libGL.so || [build_file2snes]: Install Qt → actions/checkout → qmake → make || [build_clazy]: Install Qt → actions/checkout → qmake clazy → make,1,0,1,1,0.75,1,1,"pull_request, push",2,1,1,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Install External Tool,Execute Tests
archimatetool/archi,java,1,1,1.0,1,First Step,1,[dummyjob]: First Step,0,0,0,0,0.0,0,0,workflow_dispatch,1,0,0,0,1,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,First Step,First Step
FREVA-CLINT/climatereconstructionAI,python,1,1,1.0,1,Manage Workflow Automation,1,[close-issues]: actions/stale,0,0,0,0,0.0,1,0,schedule,1,0,0,1,0,30 1 * * *,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Manage Workflow Automation,Manage Workflow Automation
cBioPortal/cbioportal,java,1,1,1.0,1,Execute Automation Script,1,[add-label]: Add default label to new issues or pull requests,0,0,0,0,0.0,1,0,issues,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Execute Automation Script,Execute Automation Script
cisco-open/flame,python,3,14,4.67,1,Setup Build Environment → Checkout Repository → Setup Runtime Environment → Build Project → Configure Build Profile → Execute Tests → Generate Test Coverage → Run Static Analysis,8,[build]: Harden Runner → actions/checkout → Set up Go → Build || [test]: Harden Runner → actions/checkout → Set up Go → Start MongoDB → Test → Upload codecoverage || [lint]: Harden Runner → actions/checkout → Set up Go → golangci-lint,1,1,1,1,1.0,8,0,"pull_request, push",2,1,1,0,0,,0,0,0,,0,0,0,0,0,0,0,8,4,3,0,1,50.0,37.5,0.0,12.5,False,Setup Build Environment,Run Static Analysis
ngine-io/cs,python,3,6,2.0,3,Set versions → Checkout Repository → Configure Cloudstack v${{ matrix.cloudstack-version }} → Setup Runtime Environment → Execute Tests → Previous jobs failed,6,[prepare-matrix]: Set versions || [acceptance-cs]: actions/checkout → Configure Cloudstack v${{ matrix.cloudstack-version }} → actions/setup-python → Run acceptance test || [all-jobs-passed]: Previous jobs failed,1,1,1,0,0.75,2,0,pull_request,1,0,1,0,0,,0,0,0,,0,0,1,0,0,1,1,2,0,2,0,0,0.0,100.0,0.0,0.0,False,Set versions,Previous jobs failed
IntelLabs/scenario_execution,python,1,1,1.0,1,Clean Project Artifacts,1,[cleanup]: Cleanup,0,0,0,0,0.0,0,0,pull_request,1,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,Clean Project Artifacts,Clean Project Artifacts
threeML/threeML,python,6,30,5.0,2,fkirc/skip-duplicate-actions → Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Run Static Analysis → Generate Test Coverage → Conda list → Upload Coverage → Build Package → Publish Package → Inspect Runtime Environment → Check long_description,12,[skip_duplicate]: fkirc/skip-duplicate-actions || [test-pip]: Checkout → Set up Python ${{ matrix.python-version }} → Install dependencies → Lint with flake8 → Test pip on ${{ matrix.python-version }} || [test-dev]: Checkout → Set up Python ${{ matrix.python-version }} → Install dependencies → Lint with flake8 → Test pip on ${{ matrix.python-version }} || [test-conda]: Checkout → XCode → Setup Miniconda → Init Env → Conda list → install it → Lint with flake8 → test it → Upload coverage to Codecov || [publish-pypi]: Checkout source → Set up Python → Build package → Publish || [test-publish-pypi]: actions/checkout → actions/setup-python → Install twine → Build package → List result → Check long_description,1,1,0,1,0.75,8,1,"pull_request, push, schedule",3,1,1,1,0,0 11 * * *,0,0,0,,0,0,0,0,0,0,0,8,0,6,2,0,0.0,75.0,25.0,0.0,False,fkirc/skip-duplicate-actions,Check long_description
eteran/nedit-ng,c++,2,11,5.5,1,Install External Tool → Checkout Repository → Build Source Code → Build Project → Setup Build Environment → Upload Build Artifacts,6,[build_ubuntu_20]: Install Qt → Checkout → Configure → Build || [build_windows]: Install Qt → Add msbuild to PATH → Checkout → Configure → Build → Deploy app → Upload artifact,1,1,0,1,0.75,4,0,"pull_request, push",2,1,1,0,0,,0,0,0,,0,0,0,0,0,0,0,4,0,4,0,0,0.0,100.0,0.0,0.0,False,Install External Tool,Upload Build Artifacts
Ziwei-Niu/Generalized_MedIA,python,1,1,1.0,1,Contribute List,1,[contrib-readme-job]: Contribute List,0,0,0,0,0.0,1,0,push,1,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Contribute List,Contribute List
autogluon/autogluon,python,4,23,5.75,4,Generate Version Metadata → Create comment → Checkout Repository → Setup Env Vars → Configure Cloud Resources → Extract Fork Info → Generate AMLB User Dir - {{ github.event.inputs.module }} → Free Disk Space (Ubuntu) → Setup Runtime Environment → Execute Benchmarks → Upload Build Artifacts → Download Build Artifacts → Comment Evaluation Result of PR with Master → Comment Dashboard Website Link on PR,14,[setup]: Create URL to the run output → Create comment || [generate_amlb_user_dir]: Checkout repository → Setup Env Vars → Configure AWS Credentials → Extract Fork Info → Generate AMLB User Dir - {{ github.event.inputs.module }} || [benchmark]: Free Disk Space (Ubuntu) → Checkout repository for PR → Checkout repository for nightly test → Setup Python → Setup npm → Configure AWS Credentials → Extract Fork Info → Run benchmark → Upload website.txt → Upload final_eval.txt || [dashboard]: Download final_eval.txt → get evaluation results → Comment Evaluation Result of PR with Master → Download website.txt → get dashboard website → Comment Dashboard Website Link on PR,1,1,0,0,0.5,8,0,workflow_dispatch,1,0,0,0,1,,0,0,0,,0,0,1,0,0,1,1,8,0,7,1,0,0.0,87.5,12.5,0.0,False,Generate Version Metadata,Comment Dashboard Website Link on PR
felddy/weewx-docker,python,11,1,0.09,7,Check docker.com credentials,1,[diagnostics]: (empty) || [config]: (empty) || [metadata]: (empty) || [docker-secrets]: Check docker.com credentials || [lint]: (empty) || [build-test-image]: (empty) || [test-normal-image]: (empty) || [build-each-platform]: (empty) || [generate-sboms]: (empty) || [build-multi-arch-image]: (empty) || [publish-readme]: (empty),0,0,0,0,0.0,0,1,"pull_request, push, release, schedule, workflow_dispatch",5,1,1,1,1,0 10 * * *,0,0,0,,1,0,0,10,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,False,Check docker.com credentials,Check docker.com credentials
BU-ISCIII/iskylims,python,2,7,3.5,1,Setup Runtime Environment → Checkout Repository → Install Project Dependencies → Run Static Analysis → Check code lints with Black,5,[flake8_py3]: Setup Python → Checkout PyTorch → Install flake8 → Run flake8 || [black_lint]: Setup → Install black in jupyter → Check code lints with Black,1,1,0,0,0.5,4,0,"pull_request, push",2,1,1,0,0,,0,0,0,,0,0,0,0,0,0,0,4,0,2,2,0,0.0,50.0,50.0,0.0,False,Setup Runtime Environment,Check code lints with Black
jertel/elastalert2,python,1,1,1.0,1,Manage Workflow Automation,1,[close-threads]: actions/stale,0,0,0,0,0.0,1,0,"schedule, workflow_dispatch",2,0,0,1,1,50 20 * * *,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Manage Workflow Automation,Manage Workflow Automation
Clueless-Community/fintech-api,python,1,5,5.0,1,Auto Comment on Issues Opened → Auto Comment on Issues Closed → Auto Comment on Pull Request Merged → Auto Comment on Pull Request Opened → Auto Comment on Issues Assigned,5,[run]: Auto Comment on Issues Opened → Auto Comment on Issues Closed → Auto Comment on Pull Request Merged → Auto Comment on Pull Request Opened → Auto Comment on Issues Assigned,0,0,0,0,0.0,1,0,"issues, pull_request",2,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Auto Comment on Issues Opened,Auto Comment on Issues Assigned
SciTools/iris,python,2,7,3.5,2,Download Build Artifacts → Configure Build Profile → Upload Build Artifacts → Checkout Repository → Setup Runtime Environment → Post reports,6,[download]: Download artifact → Unzip artifact → Store artifact || [post_reports]: Checkout repo → Download artifact → Set up Python → Post reports,1,1,0,0,0.5,5,1,workflow_run,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,5,0,5,0,0,0.0,100.0,0.0,0.0,False,Download Build Artifacts,Post reports
TWiStErRob/glide-support,java,5,14,2.8,2,Setup Runtime Environment → Checkout Repository → Build Project → Upload Build Artifacts,4,[validate]: (empty) || [build]: Set up JDK 17. → Checkout ${{ github.ref }} branch in ${{ github.repository }} repository. → Build & Verify project using Gradle. → Upload 'Reports' artifact. → Upload 'APKs' artifact. || [shadow-build-agp]: Set up JDK 17. → Checkout ${{ github.ref }} branch in ${{ github.repository }} repository. → Build & Verify project using Gradle. || [shadow-build-glide3-snapshot]: Set up JDK 17. → Checkout ${{ github.ref }} branch in ${{ github.repository }} repository. → Build & Verify project using Gradle. || [shadow-build-glide5-snapshot]: Set up JDK 17. → Checkout ${{ github.ref }} branch in ${{ github.repository }} repository. → Build & Verify project using Gradle.,1,1,0,1,0.75,3,0,push,1,1,0,0,0,,0,0,0,,1,0,0,1,0,0,1,3,0,3,0,0,0.0,100.0,0.0,0.0,False,Setup Runtime Environment,Upload Build Artifacts
quarkiverse/quarkus-jooq,java,1,5,5.0,1,Configure Build Profile → Checkout Repository → Setup Runtime Environment → Build Project,4,[build]: Prepare git → actions/checkout → Set up JDK 17 → Build with Maven → Build with Maven (Native),1,1,0,1,0.75,2,0,"pull_request, push",2,1,1,0,0,,0,0,0,,0,0,0,0,0,0,0,2,0,2,0,0,0.0,100.0,0.0,0.0,False,Configure Build Profile,Build Project
facebook/proxygen,c++,1,1,1.0,1,Manage Workflow Automation,1,[close-issues]: actions/stale,0,0,0,0,0.0,1,0,schedule,1,0,0,1,0,30 1 * * *,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Manage Workflow Automation,Manage Workflow Automation
GPTStonks/gptstonks,python,1,1,1.0,1,Publish Release,1,[update_release_draft]: release-drafter/release-drafter,0,0,0,0,0.0,1,0,push,1,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Publish Release,Publish Release
jomjol/AI-on-the-edge-device,c++,6,50,8.33,4,fkirc/skip-duplicate-actions → Checkout Repository → Set Variables → Manage Build Cache → Setup Runtime Environment → Install Project Dependencies → Build Firmware → Configure Build Profile → Clean Project Artifacts → Add Web UI to update → Add Demo mode files to update → Upload Build Artifacts → Add Web UI to remote_setup → drewg13/get-version-action → Publish Release → Deploy Application,16,[build]: fkirc/skip-duplicate-actions → actions/checkout → Set Variables → Update PIP cache on every commit → Update PlatformIO cache on every commit → Update Build cache on every commit → Update generated-files cache on every commit → Set up Python → Install PlatformIO → Build Firmware → Prepare Web UI (generate tooltip pages and update hashes in all files) → Prepare Demo mode files || [pack-for-update]: actions/checkout → Update generated-files cache on every commit → Update update cache on every commit → Set Variables → Prepare update__*.zip artifact → Add Web UI to update → Add Demo mode files to update → Add CNN to update → Upload update as update.zip artifact (Firmware + Web UI + CNN) || [pack-for-remote_setup]: actions/checkout → Update generated-files cache on every commit → Update remote_setup cache on every commit → Set Variables → Prepare remote_setup__*.zip artifact → Add Web UI to remote_setup → Add Demo mode files to update → Add whole config folder to remote_setup → Upload remote_setup as remote_setup.zip artifact (Firmware + Web UI + Config) || [pack-for-manual_setup]: actions/checkout → Update generated-files cache on every commit → Update manual_setup cache on every commit → Set Variables → Prepare manual_setup__*.zip artifact → Upload manual_setup.zip artifact (Firmware + Bootloader + Partitions + Web UI) || [prepare-release]: actions/checkout → Update update cache on every commit → Update remote_setup cache on every commit → Update manual_setup cache on every commit → Set Variables → Prepare artifacts for release → drewg13/get-version-action → Release || [update-web-installer]: Checkout → Get version of last release → Add binary to Web Installer and update manifest → Setup Pages → Upload artifact → Deploy to GitHub Pages,1,1,0,1,0.75,11,1,"pull_request, push",2,1,1,0,0,,1,13,13,pip-${{ github.run_id }} | platformio-${{ github.run_id }} | build-${{ github.run_id }} | generated-files-${{ github.run_id }} | generated-files-${{ github.run_id }} | update-${{ github.run_id }} | generated-files-${{ github.run_id }} | remote_setup-${{ github.run_id }} | generated-files-${{ github.run_id }} | manual_setup-${{ github.run_id }} | update-${{ github.run_id }} | remote_setup-${{ github.run_id }} | manual_setup-${{ github.run_id }},0,0,0,0,0,0,0,11,1,10,0,0,9.1,90.9,0.0,0.0,False,fkirc/skip-duplicate-actions,Deploy Application
langchain4j/langchain4j-embeddings,java,1,1,1.0,1,actions/add-to-project,1,[add-to-project]: actions/add-to-project,0,0,0,0,0.0,1,0,pull_request,1,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,actions/add-to-project,actions/add-to-project
alpacahq/alpaca-py,python,1,1,1.0,1,Manage Workflow Automation,1,[stale]: actions/stale,0,0,0,0,0.0,1,0,schedule,1,0,0,1,0,30 1 * * *,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Manage Workflow Automation,Manage Workflow Automation
thunder-engine/thunder,c++,9,67,7.44,3,Generate Version Metadata → Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Install External Tool → Inspect Runtime Environment → Build Project → Upload Build Artifacts → Setup Build Environment → Environment → Sign Editor → Manage Build Cache → Build Source Code → Publish Release → Download Build Artifacts,15,[version]: Get version || [linux]: Checkout repository → Prepare Vulkan SDK → Install dependencies → Install Qt → Setup Qbs → Build Qbs → Build Thunder → Upload Thunder || [android]: Checkout repository → Setup NDK → Install dependencies → Install Qt → Environment → Setup Qbs → Build Thunder → Upload Thunder || [ios]: Checkout repository → Install Qt → Setup Qbs → Build Thunder → Upload Thunder || [tvos]: Checkout repository → Install Qt → Setup Qbs → Build Thunder → Upload Thunder || [windows]: Checkout repository → Prepare Vulkan SDK → Install Qt → Install Qbs → Setup Qbs → Build Qbs → Build Thunder → Upload Editor To Sign → Sign Editor → Pack Thunder → Upload Thunder || [freebsd]: Checkout repository → Prepare FreeBSD ccache → Restore/Create FreeBSD ccache → Restore/Create FreeBSD pkg cache → Build Thunder → Upload Thunder || [emscripten]: Checkout repository → Emscripten setup → Packages installation → Build setup → Configuration → Build → Install → Upload Thunder || [github]: Create release → Download Windows binaries → Download Linux binaries → Download tvOS → Download iOS → Download Android → Download FreeBSD binaries → Download WebGL binaries → Upload Windows → Upload Linux → Upload tvOS → Upload iOS → Upload Android → Upload FreeBSD → Upload WebGL,1,1,0,1,0.75,10,1,"pull_request, push",2,1,1,0,0,,1,2,2,FreeBSD-ccache-${{ env.BSD_VERSION }}-${{ hashFiles('**/ccache-hits.txt') }} | FreeBSD-pkg-${{ env.BSD_VERSION }},0,0,0,0,0,0,0,10,1,9,0,0,10.0,90.0,0.0,0.0,False,Generate Version Metadata,Download Build Artifacts
dartsim/dart,c++,1,9,9.0,1,Export Environment Configuration → Checkout Repository → Install Project Dependencies → Setup Runtime Environment → Build Project → Deploy Documentation → Cleanup,7,[deploy]: Extract branch name → Print branch name → Checkout → Prework for installing packages using cache → Install Dependencies with cache → Install Python dependencies → Build → Deploy → Cleanup,1,1,0,1,0.75,3,0,"pull_request, push, schedule, workflow_dispatch",4,1,1,1,1,"0 2 * * 0,3",0,0,0,,0,0,0,0,0,0,0,3,0,3,0,0,0.0,100.0,0.0,0.0,False,Export Environment Configuration,Cleanup
reworks-org/galaxy,c++,1,1,1.0,1,DenverCoder1/doxygen-github-pages-action,1,[deploy]: DenverCoder1/doxygen-github-pages-action,0,0,0,0,0.0,1,0,"push, workflow_dispatch",2,1,0,0,1,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,DenverCoder1/doxygen-github-pages-action,DenverCoder1/doxygen-github-pages-action
